nesterukia@nesterukia-VirtualBox:~$ ps -eF
UID          PID    PPID  C    SZ   RSS PSR STIME TTY          TIME CMD
root           1       0  0 42027  9108   0 ноя09 ?     00:00:25 /sbin/init 
root           2       0  0     0     0   0 ноя09 ?     00:00:00 [kthreadd]
root           3       2  0     0     0   0 ноя09 ?     00:00:00 [rcu_gp]
root           4       2  0     0     0   0 ноя09 ?     00:00:00 [rcu_par_gp
root           5       2  0     0     0   0 ноя09 ?     00:00:00 [netns]
root           7       2  0     0     0   0 ноя09 ?     00:00:00 [kworker/0:
root           9       2  0     0     0   0 ноя09 ?     00:00:06 [kworker/0:
root          10       2  0     0     0   0 ноя09 ?     00:00:00 [mm_percpu_
root          11       2  0     0     0   0 ноя09 ?     00:00:00 [rcu_tasks_
root          12       2  0     0     0   0 ноя09 ?     00:00:00 [rcu_tasks_
root          13       2  0     0     0   0 ноя09 ?     00:00:03 [ksoftirqd/
root          14       2  0     0     0   0 ноя09 ?     00:00:19 [rcu_sched]
root          15       2  0     0     0   0 ноя09 ?     00:00:01 [migration/
root          16       2  0     0     0   0 ноя09 ?     00:00:00 [idle_injec
root          18       2  0     0     0   0 ноя09 ?     00:00:00 [cpuhp/0]
root          19       2  0     0     0   0 ноя09 ?     00:00:00 [kdevtmpfs]
root          20       2  0     0     0   0 ноя09 ?     00:00:00 [inet_frag_
root          21       2  0     0     0   0 ноя09 ?     00:00:00 [kauditd]
root          22       2  0     0     0   0 ноя09 ?     00:00:00 [khungtaskd
root          23       2  0     0     0   0 ноя09 ?     00:00:00 [oom_reaper
root          24       2  0     0     0   0 ноя09 ?     00:00:00 [writeback]
root          25       2  0     0     0   0 ноя09 ?     00:00:09 [kcompactd0
root          26       2  0     0     0   0 ноя09 ?     00:00:00 [ksmd]
root          27       2  0     0     0   0 ноя09 ?     00:00:00 [khugepaged
root          73       2  0     0     0   0 ноя09 ?     00:00:00 [kintegrity
root          74       2  0     0     0   0 ноя09 ?     00:00:00 [kblockd]
root          75       2  0     0     0   0 ноя09 ?     00:00:00 [blkcg_punt
root          76       2  0     0     0   0 ноя09 ?     00:00:00 [tpm_dev_wq
root          77       2  0     0     0   0 ноя09 ?     00:00:00 [ata_sff]
root          78       2  0     0     0   0 ноя09 ?     00:00:00 [md]
root          79       2  0     0     0   0 ноя09 ?     00:00:00 [edac-polle
root          80       2  0     0     0   0 ноя09 ?     00:00:00 [devfreq_wq
root          81       2  0     0     0   0 ноя09 ?     00:00:00 [watchdogd]
root          84       2  0     0     0   0 ноя09 ?     00:00:10 [kswapd0]
root          85       2  0     0     0   0 ноя09 ?     00:00:00 [ecryptfs-k
root          87       2  0     0     0   0 ноя09 ?     00:00:00 [kthrotld]
root          88       2  0     0     0   0 ноя09 ?     00:00:00 [acpi_therm
root          90       2  0     0     0   0 ноя09 ?     00:00:00 [scsi_eh_0]
root          91       2  0     0     0   0 ноя09 ?     00:00:00 [scsi_tmf_0
root          92       2  0     0     0   0 ноя09 ?     00:00:00 [scsi_eh_1]
root          93       2  0     0     0   0 ноя09 ?     00:00:00 [scsi_tmf_1
root          95       2  0     0     0   0 ноя09 ?     00:00:00 [vfio-irqfd
root          97       2  0     0     0   0 ноя09 ?     00:00:00 [mld]
root          98       2  0     0     0   0 ноя09 ?     00:00:00 [ipv6_addrc
root         109       2  0     0     0   0 ноя09 ?     00:00:00 [kstrp]
root         112       2  0     0     0   0 ноя09 ?     00:00:00 [zswap-shri
